"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"S1PR5",46.4083923155614,2.16914133457064,0.55173218445819,271.645371645935,1.78291354240368,0.0840114138247489,5.18078435164969,"NK"
"SH2D1B",0.956066992643902,3.05024766110552,7.82988445088933,327.975259869002,4.83517562306475,0.236393372578163,5.14055764413976,"NK"
"FGFBP2",133.713305948591,6.30730672675243,0.943761370820045,467.801374912682,1.31390005764081,0.23572522030589,5.04655655047149,"NK"
"LGR6",10.8688582864821,0.704597478772013,0.0428585457476039,50.8159040634021,0.84591670972028,0.0234661862946277,4.93493063772948,"NK"
"ENPP5",7.83660635438484,1.08754574571255,0.0708526129047368,36.8410721340595,0.427746258498273,0.00716856138399758,4.86495319536986,"NK"
"KLRB1",31.6009931432049,1.46058558217041,0.124399734601473,92.4227745580528,0.647783683016831,0.0607916461240465,4.82371954698438,"NK"
"PDGFD",6.33845088982699,0.663057195149262,0.093596073861016,34.6276144110441,2.5546274384622,0.00403364362957924,4.64629251948528,"NK"
"CD160",14.2285158325491,2.09557922400699,0.941074178058494,150.820244494444,3.52261236962504,0.077666951319511,4.60844425290973,"NK"
"SPON2",47.0200124449489,7.44986553919656,2.1593343378473,509.133602110474,22.7578118654498,0.340377951266472,4.49755464237217,"NK"
"PLEKHF1",12.2708011684583,2.37057985253356,0.158514008317547,62.425441935446,3.99509015335695,0.00941656567783376,4.48432768717682,"NK"
"NCAM1",4.298835671732,0.442948798539669,0.409811920833572,85.2269708027952,10.6439044119365,0.103793908060018,4.47499283511831,"NK"
"KLRF1",22.4445175002262,5.49252228374302,1.88868894147444,411.194468180581,26.7001907550156,0.369522698281334,4.47117736857896,"NK"
"GZMM",57.3952018220473,1.10706627425056,0.255632579586899,91.1026474415957,0.467399737082391,0.175449383036151,4.45464986189106,"NK"
"ZAP70",279.039227995152,6.67911370102541,1.68128313421451,525.01306044151,7.11697896404953,0.468330667546584,4.41266361927436,"NK"
"KLRD1",144.041258517476,5.96413067694693,3.74780189421775,714.946036127011,18.4606327051028,1.7784252599349,4.25852678981765,"NK"
"NKG7",342.552290650752,13.3843615377281,5.91907995616302,1107.23467086394,87.0560931730974,0.527317973895869,4.20256221174931,"NK"
"FCRL6",170.885666025094,5.53025967771411,1.200049263749,521.156632059377,131.219022256821,0.303153149206731,4.11266207609756,"NK"
"PRSS23",31.4313265343751,1.89785840003557,0.918697018629569,150.212494519469,4.49911927953667,0.412126908685788,4.08781292829979,"NK"
"FASLG",6.86393967178601,0.984321474449189,0.294088725276262,60.0831177908612,4.15016792921382,0.135720653426457,4.07320943156247,"NK"
"NMUR1",5.1227679746402,0.612934366245806,0.429377702818741,46.5331734492697,2.54965385986447,0.168307609444726,3.94961050240317,"NK"
"SYTL2",41.1560136096817,1.06668953784659,0.957445856406778,106.68736119155,12.0295874164103,0.0785522862918238,3.9335382322498,"NK"
