"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"OLFM1",18.0246822780091,13.1080494184394,40.9548145167991,13.8141327557276,25.1812749585782,18.5558710724583,0.864959846404173,"Monocytes"
"GAS7",27.8346795340073,36.8743846335693,121.490906202211,69.8119311084338,52.6843315273329,102.087338743796,0.845889100099517,"Monocytes"
"SFTPD",17.6720025487005,11.933720428273,43.450201532026,26.3279544866148,31.1480078825178,21.0069756075599,0.750498333802971,"Monocytes"
"NRG1",17.5509405106372,15.3604043518157,37.5083460945247,19.7773336954963,19.8368471636863,21.6911216205304,0.695387206470858,"Monocytes"
"TAGLN",26.6731814597192,46.9320331269493,64.0707866283176,29.6131097960559,36.0119202615927,36.8273823809667,0.617854935002593,"Monocytes"
"MAPK7",38.710696208549,33.61258318103,61.6693976954669,34.4600580687259,35.8692000423327,33.5011396080461,0.561332660726102,"Monocytes"
"NOTCH4",24.7080806334048,34.4548522260315,40.7070941605939,38.7237497199436,22.3567392490001,25.0042612398167,0.360520912003175,"Monocytes"
"KLRF1",47.5030564972928,15.4582090351662,25.7765998223719,662.943389903172,23.0532332160294,42.6318884067973,3.14892762156344,"NK"
"CD160",54.9711378990764,38.4185192596877,17.5517249078567,328.456604217188,15.5666564654621,31.8609967089223,2.44900193898351,"NK"
"KLRC3",37.4874335863623,11.092478516934,10.4444451749183,153.649690816106,14.4216867958009,16.1897196152236,2.26878470328001,"NK"
"KLRD1",74.3804544332745,19.1052648205248,22.7126255766691,276.601876802628,16.2664113809522,42.4538907050238,2.23865940535618,"NK"
"NR4A2",123.082139086254,50.1821017280147,83.6850534922846,852.692738888642,87.7068749166788,179.093779299669,2.18490314909425,"NK"
"KIR3DL1",27.6558017010984,19.9007470448867,23.5651770745868,130.516745836034,20.7533873500219,39.6502583497009,1.63486757491826,"NK"
"ABCB1",42.8537156111473,64.5720855909471,12.9170680397633,122.498886883281,18.5729320404647,23.3278412907461,1.49700656199596,"NK"
"ARID4A",80.0446912756677,85.8490236884606,61.0010285854832,328.69654933225,74.4118558088229,131.749876580691,1.36781766413569,"NK"
"TMF1",79.9948490106472,69.0698852721203,58.2218667564023,248.154122920066,56.6406172026112,89.3524960687277,1.27191849807015,"NK"
"SLC4A1AP",82.4274277234097,83.5647101621239,68.429398796976,231.774115176552,56.5350617851887,72.0946285992935,1.17052672875187,"NK"
"YTHDF3",106.837024882079,92.2240783076658,145.989461676793,413.256743337424,128.992256309978,199.934036932004,1.15670903429931,"NK"
"SEC63",77.887882430129,100.101593986435,54.7432313338493,210.103990179876,65.3686799991494,55.633819941404,1.11501374672468,"NK"
"ATP2B1",71.4025555325584,79.3174109128611,92.6604118698071,277.765294169113,82.3732435751604,194.134189186781,1.05666790460377,"NK"
"NPEPPS",80.9246393964767,71.3610696190426,79.0772185919983,223.239844372174,85.15750046507,113.237158160432,0.967110228915936,"NK"
"HAVCR1",19.7550149898256,15.079103329097,11.9633635199032,41.1424476917853,24.9372321738445,19.427343218484,0.844718440104312,"NK"
"ULK2",33.2439496486864,16.722262860093,49.2146264551757,60.9910037377218,39.6817031175474,27.0772871880894,0.671448362539082,"NK"
"APOBEC3G",102.486049497988,138.245807979961,85.0481083827442,158.893721222293,99.9224516939845,72.0545764395935,0.49147649430312,"NK"
"CLCC1",37.9422916718728,30.0562622252697,35.7560244504462,56.1948089136885,48.7977687610734,26.1390338514328,0.475430283406689,"NK"
"NR2E3",17.3231079037798,19.8423579218141,16.4061200481749,26.814620144964,15.990789804163,19.8989924255301,0.408907921451819,"NK"
"LAMP3",44.9572983474398,14.1117243715781,30.7027566777483,15.8910262257771,281.931199735737,59.8760878672747,2.29464240620924,"DC"
"CLIC2",14.4036574018251,7.64763722371426,34.91009700852,14.8737740628593,162.831384675522,26.3459458968907,2.24760142748571,"DC"
"CRLF2",18.0023780572059,15.6620338888122,25.7111997002939,12.1785912599262,80.2765252031082,28.6098473586577,1.43705710475942,"DC"
"TOMM34",84.4819499282167,77.1040381802241,81.1342178010695,35.3034108719776,276.509704443753,70.4067951378124,1.42303237490623,"DC"
"ARNT2",13.3155838127711,9.31911619596281,13.1281237462178,12.8341852245978,51.8765724392483,15.6189899791488,1.40959539982949,"DC"
"RAB9A",134.185228203978,113.445386127006,207.893477482764,190.188857834335,608.381298756954,136.101816832278,1.38500395470552,"DC"
"IFNB1",13.249773542733,10.9331183959955,13.6656924287881,9.74620101729234,46.6161525513136,14.5051323192884,1.33353797668969,"DC"
"HGD",19.67589140866,13.6724733430115,22.1909842613756,13.7785498223816,70.01481983179,27.5268324770357,1.32215912429765,"DC"
"RARRES2",17.0832384100944,19.4417887317607,18.7861050559313,25.2875815173791,84.1306045622686,36.1118420979026,1.32125553598205,"DC"
"SERPINF2",19.7287094763992,24.2806432564435,21.9016628786194,16.4853650643121,73.2460436613995,21.0277731241362,1.27249742549845,"DC"
"CIITA",25.075582039455,117.490536401251,41.7981144507097,25.9754452521657,129.338654242329,27.6347057852781,1.20296865486704,"DC"
"CD207",17.0996983488003,15.6111593107172,18.4277324313922,12.7096182684365,56.7339963522893,29.9601498331972,1.14974746204536,"DC"
"GP5",22.7653706077173,11.4688506483968,14.1461635620432,21.8498111633951,51.0059594204761,20.0671063970173,1.07242387999678,"DC"
"TLL1",10.6422698888743,9.81364372127905,9.6646486314127,12.1822269058237,33.9049486310739,19.5298723712613,1.04575988581962,"DC"
"FUT3",17.7493027407103,22.395735211759,21.4024833024452,18.1379395800368,58.2731887338117,27.6817718214575,1.01164135662201,"DC"
"MUC1",30.8998254604554,21.8180771597466,23.5036287736235,24.8619537204693,71.3364965383161,31.7979834554441,0.998730917263667,"DC"
"NDRG2",35.1003770495383,28.7897049554685,27.0344694847005,29.9204240275076,82.6441320213649,32.0372920289017,0.998386953106031,"DC"
"GJB1",22.8016751418365,21.5630045825061,29.5282772552884,19.8587137278447,69.963726018846,39.8590777524048,0.996546003609485,"DC"
"PDGFB",23.1970244184859,23.0179436277719,22.8805699952812,15.4477566290418,55.5299232909295,21.9189288959389,0.969841924224784,"DC"
"CIB2",25.1474066923443,21.6215953667914,23.0478799188752,12.1705702109871,51.1970030477672,22.5885113567719,0.925184324955508,"DC"
"HOXA2",13.9287097715889,13.1337638273756,13.3332811814174,27.6987177148568,42.4672170552002,20.838971750619,0.917209871505201,"DC"
"TBC1D8",28.8393916447849,27.1048357955335,95.9495081313734,39.2402082768797,99.2829393259803,41.4148448164993,0.874250187233786,"DC"
"FGFR3",16.201238553098,12.3324494723025,12.7021215954281,25.7276722461329,39.285402946391,19.3167698549818,0.861326731330366,"DC"
"CP",12.9673333219035,17.5847009017241,12.7633828421319,14.8078643086383,33.1989116542314,18.1156877040503,0.788921156843789,"DC"
"PCGF2",26.5211596083946,28.8809937627973,28.4227942676013,24.6744597895734,61.5419852613435,34.7081638541,0.771507294488723,"DC"
"LILRA4",24.7061289408674,58.827534248005,29.5972645126145,30.4581333507422,75.1174011674384,38.7056445286406,0.770715876286206,"DC"
"KIF1A",18.998066623836,22.7466182696453,14.1998383165525,22.3984566123719,40.4374402420749,21.8397171552505,0.716814786900727,"DC"
"S100B",15.6041746299207,9.98274655334919,9.7751279298791,20.3468206635684,26.112872286433,11.6567432911908,0.703018896369427,"DC"
"PHEX",23.2969674878758,22.4888069141403,18.1854231527401,15.0894164235325,42.6374993868052,30.842584281433,0.691763892486564,"DC"
"LIPF",14.1756231041908,15.0532000939431,15.1814379992674,9.85285517213443,29.5820241341514,25.2161140147978,0.667480400700252,"DC"
"PTPRS",19.0502621486802,18.2174302787554,20.1967548088041,19.2446445541316,38.7852662850466,24.4306264977058,0.656430041384988,"DC"
"CYP2B6",16.090874259118,23.6407237197072,14.4261314216638,16.7403382921231,33.9689863605714,23.306082863642,0.610087939968841,"DC"
"CNNM1",21.9698442030623,19.3117801316522,18.5585073173357,20.9202822092323,39.4113345569726,30.3938425906587,0.588798745197521,"DC"
"FBLN1",17.0416296252343,17.2721423771114,18.5776151332807,17.2133363618716,33.0696658562678,22.5432310209234,0.585050271869149,"DC"
"ATP2A1",17.2846615833736,17.5131446224598,13.6729118359271,13.027535345764,28.0580695347818,18.4361552652818,0.57236292060157,"DC"
"TOMM22",123.351960164583,105.09159903412,136.08698432535,93.8906153786988,167.756741799495,50.8226144584894,0.551786923010941,"DC"
"MAG",17.9960937080997,19.1344544301027,19.9716301094785,16.6298095012119,32.6187648429239,22.2612140915229,0.534887567300628,"DC"
"SLC12A3",18.6534872230794,19.1893614644261,22.2642848509948,16.1427522887119,29.7730178744161,24.892589455569,0.397719685749727,"DC"
"CYP4F3",15.4725196350091,13.063575211036,21.4934985919476,14.4201296952023,20.3383193019454,436.972625915657,3.26831540339117,"Neutrophils"
