"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"SIRPG",1290.54483662457,82.7751541674341,54.8626275,98.34637628,30.07003805,125.1446974,2.91432857549416,"T"
"LIME1",1178.89541714346,27.0415066986357,78.16252525,181.4780792,42.42770527,79.53831265,2.87606548028104,"T"
"RCAN3",321.78908118191,45.7250764161526,41.68337282,7.23560514,30.55512091,5.269930927,2.85123375758153,"T"
"CD2",8961.1861523147,417.890116973364,222.357789,6247.906848,187.6124847,576.8272959,2.74637197213763,"T"
"CD40LG",515.282572613106,63.2493091308539,24.75213495,29.30316525,20.16451827,51.29818379,2.70966115961925,"T"
"GRAP2",278.996809254915,12.9994757955473,11.82509864,200.763896,7.973524377,10.85570109,2.67158437167359,"T"
"CD6",2096.69098668929,78.2858457916615,90.96996824,623.8033823,96.80906697,155.6335945,2.66272033533248,"T"
"TRAV13-1",642.58115728648,86.1902922117054,29.72104173,42.45202479,32.45267986,74.99855252,2.58668526959848,"T"
"LY9",1377.29286891889,339.05429286786,30.00087721,271.972779,74.17751535,59.93806713,2.58130281284889,"T"
"PMCH",131.870225364377,12.1169666307279,9.49164333,6.727160344,9.763369734,13.42857679,2.5763794616231,"T"
"LAT",3906.51511757149,153.608684594452,239.5833162,1722.578313,205.2650782,209.6546017,2.5434708434767,"T"
"MAP9",65.7425646363898,10.7351416385861,1.421006596,37.63679768,2.574327617,2.738399982,2.52458007291912,"T"
"CD3E",5482.2619574359,1158.47792415215,225.2808846,461.7145711,195.4486787,809.110134,2.49359505030388,"T"
"MAP4K1",1830.86826303835,185.818421900142,317.9668785,747.3149188,58.98386899,35.18234699,2.46434313059106,"T"
"TRAV12-2",146.078222821661,12.9930713337674,10.63253287,11.08896426,12.87147163,15.47264026,2.45846789815353,"T"
"TRAV8-6",329.321019604362,24.1780878119946,34.39428346,18.30217166,24.16870446,65.39316048,2.3978663943551,"T"
"VILL",502.162924229225,30.3172572025051,97.78124023,215.5413192,21.08681353,20.88408586,2.32787706042964,"T"
"TRAV9-2",576.358204927808,65.2921726267479,47.77691068,56.17040361,27.7387923,130.9175576,2.30248848952501,"T"
"RPL10L",416.106534851099,41.4175834625309,95.70491339,91.27669248,26.98167014,13.6945175,2.28873653231952,"T"
"CD8A",3874.2111408569,530.551772661664,203.576442,959.5951565,176.6671569,623.2298556,2.24896664593745,"T"
"FBXL8",167.791465318527,7.05531786741712,43.1055926,12.81344642,67.36258689,8.576738645,2.19730732821753,"T"
"LTB",11386.086649487,10628.5947278309,321.3564756,1009.906661,184.5481051,5458.249488,2.18329520967049,"T"
